place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
Jas Indulge Nail Spa,NA,NA,NA,,"Address154 West Coast Road West Coast Plaza West Coast Plaza, #02-16, Singapore 127371 Singapore",Neighborhood: Clementi,NA,NA
Major 99,NA,NA,NA,,"Address4190 Ang Mo Kio Avenue 6 #02-02 Broadway Plaza, Singapore 569841 Singapore",Neighborhood: Ang Mo Kio,More than 3 hours,NA
Retro Gate,NA,NA,NA,,"Address5001 Beach Road #04-16 Golden Mile Complex, Singapore 199588 Singapore",Neighborhood: Crawford,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Q Menswear,NA,NA,NA,,"Address116A Telok Ayer Street, Singapore 068585 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
Outdoor Life,NA,NA,NA,,"AddressFunan Mall #02-20 107 North Bridge Road, Singapore 179105 Singapore",Neighborhood: City Hall,NA,10:00 AM - 10:00 PM
Bollywood Beats,NA,NA,NA,,"Address79 Circular Road Level 2, Singapore 049433 Singapore",Neighborhood: Central Area/City Area,2-3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Kelyn Esther,NA,NA,NA,,"AddressBlk 269 Queen St #02-227/231 Opposite Bugis Plus Shopping Mall Taxi Stand, Singapore 180269 Singapore",Neighborhood: Rochor,1-2 hours,11:00 AM - 9:00 PM
Avas Travel and Tours,NA,NA,NA,,NA,Neighborhood: Rochor,1-2 hours,NA
Individual Collective,NA,NA,NA,,"Address7 Fraser Street Duo Galleria #01-22 Duo Galleria, Singapore 189356 Singapore",Neighborhood: Central Area/City Area,< 1 hour,11:00 AM - 8:00 PM
Zu’es Connections,NA,NA,NA,,"Address631 Ang Mo Kio Avenue 4 #01-908, Singapore 560631 Singapore",Neighborhood: Ang Mo Kio,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Baliba Pub and Cafe,NA,NA,NA,,"Address400 Orchard Road #1-10 Orchard Towers, Singapore 238875 Singapore",Neighborhood: Boulevard,2-3 hours,12:00 PM - 4:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
Graziaa,NA,NA,NA,,"Address16 Raffles Quay, #B1-03 The Basement #B1-03 The Basement, Singapore 048581 Singapore",Neighborhood: Raffles Place,NA,11:00 AM - 8:00 PM
Pop-up Markets in Singapore,NA,NA,NA,,"Address18 Marina Gardens Drive Gardens By the Bay Bayfront Pavilion, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,2-3 hours,NA
DONN Beauty Artistry,NA,NA,NA,,"AddressBlk 253 Choa Chu Kang Avenue 1 Keat Hong Shopping Centre #01-08A Keat Hong Shopping Centre, Singapore 680253 Singapore",Neighborhood: Keat Hong,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
TourEzee,NA,NA,NA,,"Address73 Ayer Rajah Crescent #01-19 Jtc Launchpad@one-north, Singapore 139952 Singapore",Neighborhood: One North,NA,NA
Lotus Yog,NA,NA,NA,,"Address59 Kampong Bahru Road #02-03, Singapore 169367 Singapore",Neighborhood: Bukit Merah,1-2 hours,NA
Perk by Kate,NA,NA,NA,,"Address134A Telok Ayer Street, Singapore 068600 Singapore",Neighborhood: Central Area/City Area,< 1 hour,11:00 AM - 7:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Ebenex Live Space,NA,NA,NA,,"Address5 Pereira Road #01-02 Asiawide Industrial Building, Singapore 368025 Singapore",Neighborhood: Joo Seng,NA,NA
Olive Spa,NA,NA,NA,,"Address101 Killiney Road, Singapore 239544 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Bar 93,NA,NA,NA,,"Address93 Jalan Binchang Choon Sing Garden, Singapore 578566 Singapore",Neighborhood: Bishan,NA,NA
Club Coco Nut,NA,NA,NA,,"Address163 Tanglin Road Tanglin Mall #03-21, Singapore 247933 Singapore",Neighborhood: Central Area/City Area,NA,NA
FM Art Lab,NA,NA,NA,,"Address75 Sophia Road, Singapore 228156 Singapore",Neighborhood: Rochor,NA,NA
ToTT @ Suntec Cooking Studio Classes,NA,NA,NA,,"Address3 Temasek Boulevard Suntec City Mall #02-427 Suntec City Mall, Singapore 038983 Singapore",Neighborhood: Central Area/City Area,NA,NA
Bestfoody,NA,NA,NA,,"Address1 Pemimpin Drive One Pemimpin, Singapore 576151 Singapore",Neighborhood: Bishan,NA,NA
harmonicspace,NA,NA,NA,,"AddressBodok Street 7, Singapore 11987 Singapore",Neighborhood: Tampines,NA,NA
ArtBlue Studio,NA,NA,NA,,"Address23 Yong Siak Street Yong Siak View, Singapore 168652 Singapore",Neighborhood: Bukit Merah,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Maxi Cab Singapore,NA,NA,NA,,"Address10 Airport Boulevard Changi Airport Terminal 4, Singapore 819665 Singapore",Neighborhood: Changi,NA,NA
The Moon,NA,NA,NA,,"Address37 Mosque Street, Singapore 059515 Singapore",Neighborhood: Outram,1-2 hours,11:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Tennis Traveler,NA,NA,NA,,"Address190 Orchard Boulevard Four Seasons Hotel, Singapore 248646 Singapore",Neighborhood: Boulevard,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Adept Therapy,NA,NA,NA,,"Address587 Bukit Timah Road #02-29 Coronation Plaza Coronation Plaza, Singapore 269707 Singapore",Neighborhood: Bukit Timah,1-2 hours,NA
Breezedeck Art Jamming,NA,NA,NA,,"Address77 Kampong Bahru Road, Singapore 169376 Singapore",Neighborhood: Bukit Merah,NA,9:00 AM - 10:00 PM
Healing Hands Wellness & Spa,NA,NA,NA,,"Address220 Orchard Road #04-01 Midpoint Orchard, Singapore 238852 Singapore",Neighborhood: Emerald Hill,1-2 hours,10:00 AM - 10:00 PM
Fabeaulos Group,NA,NA,NA,,NA,NA,NA,NA
Jia Lei Confectionery & Training Centre Pte Ltd,NA,NA,NA,,"AddressBlk 269 Queen Street #02-226 Singapore 180269, Singapore 180269 Singapore",Neighborhood: Rochor,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Maxi Cab and Minibus Singapore,NA,NA,NA,,"AddressChangi Airport Singapore BLK 458 Segar Road #02-145, Singapore 670458 Singapore",Neighborhood: Bukit Panjang,NA,12:00 AM - 11:30 PM
BBOUNCE Studio,NA,NA,NA,,"Address176 Orchard Road The Centrepoint #06-09 Orchard Centrepoint, Singapore 238843 Singapore",Neighborhood: Somerset,2-3 hours,10:00 AM - 9:30 PM
Aloha Bicycle Transport,NA,NA,NA,,"AddressBishan st 11, Singapore 570505 Singapore",Neighborhood: Bishan,NA,NA
Little Cookhouse,NA,NA,NA,,"Address321 Alexandra Road Alexandra Central #02-11, Singapore 159971 Singapore",Neighborhood: Bukit Merah,NA,NA
Elements Wellness ION Orchard,NA,NA,NA,,"Address2 Orchard Turn #1-30 Ion Orchard #B ION Orchard, Singapore 238801 Singapore",Neighborhood: Boulevard,1-2 hours,11:00 AM - 9:00 PM
Beat X,NA,NA,NA,,"Address20 Cecil Street Plus #06-03 Plus, Singapore 049705 Singapore",Neighborhood: Central Area/City Area,2-3 hours,11:00 AM - 10:00 PM
Asia Timepiece Centre,NA,NA,NA,,"Address180 Bencoolen Street The Bencoolen #01-91, The Bencoolen, Singapore 189646 Singapore",Neighborhood: Rochor,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
TeaheeSG,NA,NA,NA,,"Address301 Serangoon Avenue 2 #01-328 Chuan Village, Singapore 550301 Singapore",Neighborhood: Serangoon,NA,NA
SyraSkins,NA,NA,NA,,"Address970 Geylang Road Tristar Complex Tristar Complex, #01-08, Singapore 423492 Singapore",Neighborhood: Geylang East,< 1 hour,10:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Fleek Singapore,NA,NA,NA,,"Address6 Raffles Boulevard Marina Square 01-05 Marina Square, Singapore 039594 Singapore",Neighborhood: Marina Centre,2-3 hours,10:30 PM - 12:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
Harry Ong,NA,NA,NA,,NA,NA,NA,NA
Tiny Rabbit Hole,NA,NA,NA,,"Address62A Smith Street Level 2 #02-00, Singapore 058964 Singapore",Neighborhood: Outram,NA,NA
iPreciation,NA,NA,NA,,"Address50 Cuscaden Road #01-01 Hpl House HPL House #01-01, Singapore 249724 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Roxy Disc House,NA,NA,NA,,"Address1 Coleman Street The Adelphi, Singapore 179803 Singapore",Neighborhood: City Hall,NA,NA
Mad About Comedy - Singapore,NA,NA,NA,,NA,NA,1-2 hours,NA
Chosan Zakka - Far East Fine Arts,NA,NA,NA,,"Address304 Orchard Road #03-50 Lucky Plaza Lucky Plaza, Singapore 238863 Singapore",Neighborhood: Boulevard,1-2 hours,11:00 AM - 6:00 PM
KGB Transportation Services,NA,NA,NA,,"AddressSkudai Holiday plaza, Singapore 79100 Singapore",Neighborhood: Central Area/City Area,NA,NA
Renga Naidu,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Scent by SIX,NA,NA,NA,,"Address109 North Bridge Road Funan L2-k04, Singapore 179097 Singapore",Neighborhood: City Hall,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Mohamad Farhan,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Kaizen Consulting Group,NA,NA,NA,,"Address5 Lorong Bakar Batu #08-01 Macpherson Industrial Complex, Singapore 348742 Singapore",Neighborhood: Geylang,NA,NA
SCENE SHANG Flagship Store,NA,NA,NA,,"Address263 Beach Road, Singapore 199542 Singapore",Neighborhood: Rochor,< 1 hour,11:00 AM - 8:00 PM
Fashion Makerspace,NA,NA,NA,,"Address258A South Bridge Road, Singapore 058807 Singapore",Neighborhood: Outram,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
My Wonder Touch Massage Theraphy,NA,NA,NA,,NA,NA,NA,12:00 AM - 11:59 PM
Beerytale,NA,NA,NA,,"Address48A Prinsep Street Prinsep Place, Singapore 188678 Singapore",Neighborhood: Rochor,2-3 hours,6:00 AM - 3:00 AM
Shirdi Sai Baba Worship Centre,NA,NA,NA,,NA,Neighborhood: Kallang,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Paint Shoppe Nail Spa,NA,NA,NA,,"Address63 East Coast Road #01-02 the Red House, Singapore 428776 Singapore",Neighborhood: Marine Parade,NA,10:30 AM - 8:30 PM
HULS Gallery Singapore,NA,NA,NA,,"Address24 Duxton Hill, Singapore 089607 Singapore",Neighborhood: Outram,< 1 hour,NA
Breathya,NA,NA,NA,,"Address1 Marine Parade Central Parkway Centre 03-09 Parkway Centre, Singapore 449408 Singapore",Neighborhood: Marine Parade,1-2 hours,NA
Playhao,NA,NA,NA,,"Address583 Orchard Road Forum #02-15 Forum The Shopping Mall, Singapore 238884 Singapore",Neighborhood: Boulevard,< 1 hour,10:00 AM - 7:00 PM
D’Arts and Designs,NA,NA,NA,,"Address33 Ubi Avenue 3 Vertex #04-55 Vertex, Singapore 408868 Singapore",Neighborhood: Kampong Ubi,1-2 hours,NA
Charm Beauty Zone,NA,NA,NA,,"Address92 Tanjong Pagar Road, Singapore 088513 Singapore",Neighborhood: Outram,1-2 hours,NA
AL Maxi Cab,NA,NA,NA,,NA,Neighborhood: Jurong East,< 1 hour,NA
Exhale,NA,NA,NA,,"Address230A River Valley Road 2nd Floor Shophouse, Singapore 238288 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
GO Team LLP,NA,NA,NA,,"Address50 Lorong 40 Geylang Sunny Spring Suite #06-45, Singapore 398074 Singapore",Neighborhood: Tanjong Rhu,1-2 hours,12:00 AM - 11:59 PM
A&P Custom Tailors,NA,NA,NA,,"Address150 Orchard Road Orchard Plaza Orchard plaza 01-09, Singapore 238841 Singapore",Neighborhood: Somerset,NA,NA
Resin Play,NA,NA,NA,,"Address1 Jalan Berseh New World Centre #02-28C, New World Centre, Singapore 209037 Singapore",Neighborhood: City Hall,2-3 hours,11:00 AM - 7:00 PM
True Eyes Beauty & Academy,NA,NA,NA,,"Address321 Alexandra Road Alexandra Central Alexandra Central Mall, Singapore 159971 Singapore",Neighborhood: Bukit Merah,More than 3 hours,NA
Square One Chiropractic,NA,NA,NA,,"Address13A Upper Circular Road, Singapore 058411 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Kidzland,NA,NA,NA,,"AddressTurf City, Singapore 287994 Singapore",Neighborhood: Swiss Club,NA,NA
Jannheal,NA,NA,NA,,"Address545 Orchard Road #04-35 Far East Shopping Centre, Singapore 238882 Singapore",Neighborhood: Boulevard,NA,NA
Scent Discovery,NA,NA,NA,,"Address221 Balestier Road Rocca Balestier 02-05, Singapore 329928 Singapore",Neighborhood: Novena,1-2 hours,NA
Maxicab & Minibus,NA,NA,NA,,NA,NA,More than 3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Eyemage Gallery,NA,NA,NA,,"Address2 Kallang Avenue Ct Hub CT HUB 1 Suite 07-08, Singapore 339407 Singapore",Neighborhood: Kallang,< 1 hour,NA
SMART Car Rental Pte Ltd.,NA,NA,NA,,NA,NA,More than 3 hours,NA
Amore Fitness & Boutique Spa,NA,NA,NA,,"Address17 Petir Road #1-18 Hillion Mall, Singapore 678278 Singapore",Neighborhood: Bukit Panjang,1-2 hours,NA
Amore Fitness & Boutique Spa,NA,NA,NA,,"Address63 Jurong West Central 3 #03-17 Jurong Point Jurong Point, Singapore 648331 Singapore",Neighborhood: Jurong West,1-2 hours,NA
Amore Fitness & Boutique Spa,NA,NA,NA,,"Address68 Orchard Road #04-53 Plaza Singapura Plaza Singapura, Singapore 238839 Singapore",Neighborhood: Museum,1-2 hours,NA
Amore Fitness & Boutique Spa,NA,NA,NA,,"Address301 Upper Thomson Road #03-49 Thomson Plaza, Singapore 574408 Singapore",Neighborhood: Bishan,1-2 hours,NA
Amore Fitness & Boutique Spa,NA,NA,NA,,"Address900 South Woodlands Drive #06-11 Woodlands Civic Centre, Singapore 730900 Singapore",Neighborhood: Woodlands Regional Centre,1-2 hours,NA
Amore Fitness & Boutique Spa,NA,NA,NA,,"Address10 Tampines Central 1, #05 – 18 Tampines 1, Singapore 529536 Singapore",Neighborhood: Tampines East,1-2 hours,NA
Spout 360,NA,NA,NA,,"Address8 Tomlinson Road Hana Suite 04-01, Singapore 247857 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,NA
At Ease,NA,NA,NA,,NA,NA,1-2 hours,NA
SkillsHQ Academy,NA,NA,NA,,"Address7500A Beach Road Unit 04-311 The Plaza, Singapore 199591 Singapore",Neighborhood: Crawford,More than 3 hours,NA
Möbler,NA,NA,NA,,"Address10c Jalan Ampas Ho Seng Lee Flatted Warehouse Building, Singapore 329513 Singapore",Neighborhood: Novena,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
An Qi Spa,NA,NA,NA,,"Address275 Beach Road #01-02, Singapore 199549 Singapore",Neighborhood: Rochor,NA,12:00 AM - 12:00 AM
Spa@ThePlaza,NA,NA,NA,,"Address7500A Beach Road The Plaza #01-302 The Plaza, Singapore 199591 Singapore",Neighborhood: Crawford,NA,11:00 AM - 11:00 PM
Havana Spa,NA,NA,NA,,"Address493 River Valley Road #01-01 Valley Park, Singapore 248358 Singapore",Neighborhood: Tanglin,NA,11:00 AM - 8:00 PM
Lynn Aesthetic,NA,NA,NA,,"AddressBlk 211 Hougang Street 21 #01-317, Singapore 530211 Singapore",Neighborhood: Lorong Ah Soo,NA,10:00 AM - 9:00 PM
Essence Vale Spa,NA,NA,NA,,"Address2 Temasek Boulevard Level 4, Conrad Centennial Hotel, Singapore 38982 Singapore",Neighborhood: Marina Centre,1-2 hours,10:00 AM - 9:00 PM
Fashion Nailz Spa ,NA,NA,NA,,"AddressBlk 21 Lorong 7 Toa Payoh Kim Keat Palm #01-292, Singapore 310021 Singapore",Neighborhood: Toa Payoh,NA,10:00 AM - 8:00 PM
Lushkara Beauty & Bridal Services ,NA,NA,NA,,"AddressBlock 825 Tampines Street 81 Tampines Grove #01-74, Singapore 520825 Singapore",Neighborhood: Tampines,NA,NA
Room For More,NA,NA,NA,,"Address40C Harding Road Level 3, Singapore 249548 Singapore",Neighborhood: Tanglin,NA,NA
The Potters' Guilt,NA,NA,NA,,"Address195 Pearl's Hill Terrace, Singapore 168976 Singapore",Neighborhood: Central Area/City Area,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Han Dynasty,NA,NA,NA,,"Address3 Jasmine Road Adelphi Park Estate, Singapore 576579 Singapore",Neighborhood: Bishan,< 1 hour,NA
MAHCollection fashion Boutique,NA,NA,NA,,"Address7 Grange Road Between Devonshire and Orchard on intersection, Singapore 239694 Singapore",Neighborhood: Central Area/City Area,1-2 hours,11:00 AM - 4:00 PM
Palitalia,NA,NA,NA,,"Address11 Cavan Road Cavan Suites #01-09, Singapore 209848 Singapore",Neighborhood: Lavender,1-2 hours,NA
Hatch Art Project,NA,NA,NA,,"Address8 Marina View Asia Square Tower 1 Asia Square Tower 1, #01-02, Singapore 018960 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
Ratianah,NA,NA,NA,,"Address23 Bussorah Street, Singapore 199441 Singapore",Neighborhood: Rochor,NA,NA
Sindo Ferry,NA,NA,NA,,"Address1 Maritime Square Harbourfront Centre #03-43, Singapore 099253 Singapore",Neighborhood: Bukit Merah,NA,6:30 AM - 9:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Manekineko,NA,NA,NA,,"Address2 Orchard Link Scape 03-05 Scape, Singapore 237978 Singapore",Neighborhood: Somerset,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
abv Bar,NA,NA,NA,,"Address115 King George's Avenue #02-02 Ann Chuan Industrial Building, Singapore 208561 Singapore",Neighborhood: Lavender,NA,NA
Yemaya Spa,NA,NA,NA,,"Address581 Orchard Road, 23rd Floor Hilton Singapore, Singapore 238883 Singapore",Neighborhood: Boulevard,1-2 hours,11:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Hitransfers,NA,NA,NA,,"AddressTower A Billion Ctr 1 Wang Kwong Rd Kowloon Bay Kl, Singapore 999077 Singapore",NA,NA,NA
PLAY! By KinderPlay,NA,NA,NA,,"AddressChangi Airport T3, B2 - 14/15/16/17, Singapore 819663 Singapore",NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
LEARNERS HUB PTE LTD,NA,NA,NA,,"Address76 Playfair Road #04-01, Singapore 367996 Singapore",Neighborhood: Joo Seng,NA,9:00 AM - 7:00 PM
"PROFi DRIVER Singapore, Singapore",NA,NA,NA,,"Address10 Rue de Penthièvre, Singapore 75008 Singapore",Neighborhood: Telok Blangah Drive,NA,NA
SSVP Shop,NA,NA,NA,,"Address501 Geylang Road, Singapore 389459 Singapore",Neighborhood: Aljunied,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Singapore Visitor Centres,NA,NA,NA,,"Address8 Raffles Avenue #01-18 Esplanade Mall Esplanade Waterfront, Singapore 039802 Singapore",Neighborhood: Marina Centre,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Dollar & More,NA,NA,NA,,"Address58 Pagoda Street, Singapore 059217 Singapore",Neighborhood: Outram,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Wisma Geylang Serai,NA,NA,NA,,"Address1 Engku Aman Turn Wisma Geylang Serai, Singapore 408528 Singapore",Neighborhood: Geylang East,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
BEAM Space. Smarter Storage in Singapore & Malaysia,NA,NA,NA,,"Address71 Ayer Rajah Crescent #06-05, Singapore 139951 Singapore",Neighborhood: One North,NA,NA
Qin Spa,NA,NA,NA,,"Address247 Victoria Street, Singapore 188033 Singapore",Neighborhood: Rochor,NA,NA
Absolute Massage,NA,NA,NA,,"Address1 Pasir Ris Close #02-313 E!Hub@Downtown East E!Avenue, Downtown East, Singapore 519599 Singapore",Neighborhood: Pasir Ris,1-2 hours,11:00 AM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Maxicab Booking Singapore,NA,NA,NA,,NA,NA,NA,12:00 AM - 11:59 PM
NA,NA,NA,NA,,NA,NA,NA,NA
The Bag Creature,NA,NA,NA,,"Address57 Joo Chiat Place, Singapore 427781 Singapore",Neighborhood: Geylang East,NA,11:00 AM - 6:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Myer's Jewellery,NA,NA,NA,,"Address25 Trengganu Street Hotel 1887 #01-08, Singapore 058476 Singapore",Neighborhood: Outram,NA,NA
Learn Indonesian Asia,NA,NA,NA,,"Address5 Shenton Way Uic Building #10-01, Singapore 068808 Singapore",Neighborhood: Central Area/City Area,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Wild Rice,NA,NA,NA,,"Address107 North Bridge Road #04-08 Funan Mall, Singapore 179105 Singapore",Neighborhood: City Hall,NA,NA
Yemaya Spa,NA,NA,NA,,"Address11 Slim Barracks Rise Floor 4, Singapore 138664 Singapore",Neighborhood: Boulevard,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
SONA Skin Studio,NA,NA,NA,,"Address18A Tanjong Pagar Road Second Floor, Singapore 088441 Singapore",Neighborhood: Outram,1-2 hours,10:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
N Cat,NA,NA,NA,,"Address3, #02-18 Gateway Dr, Westgate, Singapore 608531 Singapore",Neighborhood: Jurong East,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
BKS Iyengar Yogashala Singapore,NA,NA,NA,,"Address566a, Serangoon Rd., Singapore 218181 Singapore",Neighborhood: Lavender,NA,NA
Our Secret Herb Garden,NA,NA,NA,,NA,NA,NA,NA
B Bar,NA,NA,NA,,"Address34 Boon Leat Terrace #01-01, Singapore 119866 Singapore",Neighborhood: Pasir Panjang 2,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Lion's Pride 'Art From The Heart'!,NA,NA,NA,,"Address133 New Bridge Road Chinatown Point, Singapore 059413 Singapore",Neighborhood: Outram,NA,NA
Assemble,NA,NA,NA,,"Address181 Orchard Road Orchard Central Orchard Central #04-29, Singapore 238896 Singapore",Neighborhood: Somerset,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
DISTRICT,NA,NA,NA,,"Address68 Orchard Rd, #03-65 to 69 Plaza Singapura, Singapore 238839 Singapore",Neighborhood: Museum,< 1 hour,10:00 AM - 10:00 PM
Imagenius,NA,NA,NA,,"Address400 Joo Chiat Place, Singapore 428081 Singapore",Neighborhood: Joo Chiat,2-3 hours,NA
ShanghART Singapore,NA,NA,NA,,"Address9 Lock Road #02-22 Gillman Barracks, Singapore 108937 Singapore",Neighborhood: Telok Blangah Drive,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
The Outcall Spa,NA,NA,NA,,NA,NA,NA,2:00 PM - 1:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
GOJO Singapore,NA,NA,NA,,"Address465 Crawford Lane #02-18 Singapore 190465, Singapore 190465 Singapore",Neighborhood: Crawford,NA,10:00 AM - 7:00 PM
Sunday Staples,NA,NA,NA,,"Address14 Scotts Road #01-58 Far East Plaza, Singapore 228213 Singapore",Neighborhood: Central Area/City Area,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Sibe Urban Life Care Concept,NA,NA,NA,,"Address112 East Coast Road 112 Katong #b1-15, Singapore 428802 Singapore",Neighborhood: Marine Parade,< 1 hour,9:00 AM - 6:00 PM
Road Runner Limo,NA,NA,NA,,"Address105B Edgefield Plains #06-11, Singapore 822105 Singapore",Neighborhood: Punggol,NA,NA
City Flyer Transport,NA,NA,NA,,"AddressBlk 531A Upper Cross Street Hong Lim Complex #04-95 Hong Lim Complex, Singapore 051531 Singapore",Neighborhood: Outram,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Shui Gou Guan Sheng De Tan,NA,NA,NA,,"Address2 Teck Whye Lane, Singapore 688799 Singapore",Neighborhood: Choa Chu Kang,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Ransack! Outdoors Escape Room,NA,NA,NA,,"AddressFort Canning Park, Singapore 179037 Singapore",Neighborhood: Museum,2-3 hours,NA
Bouncy Paradise,NA,from $14.50,NA,,"Address200 Pandan Gardens The Sports Stage PeopleUp Hub, Singapore 609336 Singapore",Neighborhood: Jurong East,2-3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Golden Pail Spa,NA,NA,NA,,"Address304 Thomson Road Eng Aun Mansion Eng Aun Mansion, Singapore 307654 Singapore",Neighborhood: Novena,1-2 hours,"12:00 AM - 2:00 AM, 10:00 AM - 11:45 PM"
Zulu Style  Singapore,NA,NA,NA,,"Address44 Race Course Road, Singapore 218558 Singapore",Neighborhood: Little India,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
